pair_idx,fp_size,num_collisions,tanimoto_exact,tanimoto_compressed,tanimoto_compressed_difference
141,4096,0,0.2123,0.2123,0.0000
142,512,2,0.1691,0.1866,0.0174
142,1024,1,0.1691,0.1778,0.0087
142,2048,0,0.1691,0.1691,0.0000
142,4096,0,0.1691,0.1691,0.0000
143,512,4,0.1636,0.2075,0.0439
143,1024,1,0.1636,0.1743,0.0107
143,2048,0,0.1636,0.1636,0.0000
143,4096,0,0.1636,0.1636,0.0000
144,512,4,0.1441,0.1759,0.0318
144,1024,2,0.1441,0.1545,0.0104
144,2048,1,0.1441,0.1441,0.0000
144,4096,0,0.1441,0.1441,0.0000
145,512,7,0.2132,0.2692,0.0560
145,1024,4,0.2132,0.2500,0.0368
145,2048,3,0.2132,0.2406,0.0274
145,4096,0,0.2132,0.2132,0.0000
146,512,7,0.1915,0.2537,0.0622
146,1024,3,0.1915,0.2174,0.0259
146,2048,3,0.1915,0.2174,0.0259
146,4096,2,0.1915,0.2000,0.0085
147,512,1,0.1724,0.1826,0.0102
147,1024,1,0.1724,0.1826,0.0102
147,2048,0,0.1724,0.1724,0.0000
147,4096,0,0.1724,0.1724,0.0000
148,512,3,0.1603,0.1783,0.0180
148,1024,2,0.1603,0.1692,0.0089
148,2048,0,0.1603,0.1603,0.0000
148,4096,0,0.1603,0.1603,0.0000
149,512,1,0.1026,0.1217,0.0192
149,1024,1,0.1026,0.1217,0.0192
149,2048,1,0.1026,0.1217,0.0192
149,4096,0,0.1026,0.1026,0.0000
150,512,4,0.2583,0.2906,0.0323
150,1024,2,0.2583,0.2797,0.0213
150,2048,1,0.2583,0.2689,0.0106
150,4096,1,0.2583,0.2689,0.0106
151,512,4,0.1656,0.1801,0.0145
151,1024,3,0.1656,0.1728,0.0072
151,2048,2,0.1656,0.1728,0.0072
151,4096,1,0.1656,0.1728,0.0072
152,512,7,0.1862,0.2286,0.0424
152,1024,3,0.1862,0.2028,0.0166
152,2048,2,0.1862,0.1944,0.0082
152,4096,2,0.1862,0.1944,0.0082
153,512,4,0.1885,0.2288,0.0403
153,1024,2,0.1885,0.1983,0.0098
